Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
jbl-tune-buds-true-wireless-noise-cancelling-earbuds-jbl-pure-bass-sound,"JBL Tune Buds - True wireless Noise Cancelling earbuds, JBL Pure Bass Sound,","<div class=""sfx-features""><h3>Key Features</h3><ul><li><strong>JBL Pure Bass Sound</strong> — Smartly designed 10mm drivers enhanced by the buds' form factor deliver JBL's Pure Bass Sound so you'll feel every pulsing beat.</li><li><strong>Bluetooth 5.3 with LE audio support (*)</strong> — Thanks to the next generation Bluetooth technology, the JBL Tune Buds earbuds stream audio with low power consumption at high quality. Plus, BT 5.3 allows to stream synchronized audio independently to each earbud, so that you can use either or both earbuds. Or you can share your video or music content with a friend wearing headphones, as BT 5.3 lets you seamlessly stream audio to multiple listeners. (*) Available via OTA update at a later stage</li><li><strong>Active Noise Cancelling with Smart Ambient</strong> — Hear more of what you want, less of what you don't. Active Noise Cancelling technology lets you minimize audio distractions. With Ambient Aware, you can tune into your surroundings at any time so that you feel safer when you're out in the world, while TalkThru lets you stop for a quick chat without having to remove your headphones.</li><li><strong>4-Mic technology for Crisp, Clear Calls</strong> — Enjoy hassle-free, hands-free calls in stereo. The Tune Buds are equipped with dual microphones, so you'll always be heard with perfect clarity. Never hesitate to take or make a call again. And with VoiceAware, you can choose how much of your own voice to hear by controlling the amount of mic input routed back into your earbuds.</li><li><strong>Up to 48 hours of battery life</strong> — Never miss a beat with 48 (12 plus36) hours of battery life or 10 hours, plus 30 hours in the case when noise cancelling is engaged. Need a boost? Speed Charge for just 15 minutes to get 4 hours of playtime.</li></ul></div>
<div class=""sfx-description""><h3>Description</h3><p>Tackle your day one song at a time with the JBL Tune Buds. These true wireless earbuds give you up to 48 hours of exceptional JBL Pure Bass Sound, while the ergonomic, water and dust resistant design gives you all-day comfort in any weather. A simple touch allows you to manage and enjoy perfect calls anywhere, without ambient noises. And with Active Noise Cancelling and Smart Ambient technology, you choose whether you want to tune out the world or engage with your surroundings. The bud design ensures perfect isolation from outside noises and secure fit. Best of all, the JBL Headphones App lets you personalize your entire listening experience. Stay connected to your world, your way.</p></div>
<div class=""sfx-specs""><h3>Specifications</h3><table class=""sfx-spec-table""><tr><td><strong>Noise Control</strong></td><td>Active Noise Cancellation</td></tr><tr><td><strong>Frequency Response</strong></td><td>20 Hz</td></tr><tr><td><strong>Sensitivity</strong></td><td>98 dB</td></tr><tr><td><strong>Headphones Jack</strong></td><td>No Jack</td></tr><tr><td><strong>Model Name</strong></td><td>JBL Tune Buds</td></tr><tr><td><strong>Connectivity Technology</strong></td><td>Wireless</td></tr><tr><td><strong>Wireless Communication Technology</strong></td><td>Bluetooth</td></tr><tr><td><strong>Included Components</strong></td><td>1 x 3 sizes of eartips, 1 x Charging case, 1 x JBL Tune Buds earbuds, 1 x Quick Start Guide / Safety Sheet, 1 x Type-C to Type-A charging cable, 1 x Warranty / Warning</td></tr><tr><td><strong>Age Range (Description)</strong></td><td>Adult</td></tr><tr><td><strong>Material</strong></td><td>Plastic, Thermoplastic Elastomer (TPE)</td></tr><tr><td><strong>Specific Uses For Product</strong></td><td>Multi-Purpose</td></tr><tr><td><strong>Charging Time</strong></td><td>2 Hours</td></tr><tr><td><strong>Recommended Uses For Product</strong></td><td>Music, Calling, Travel</td></tr><tr><td><strong>Compatible Devices</strong></td><td>Smartphones, Tablets, Laptops, Desktops, Smart Speakers, Televisions, Car Audio Systems, Gaming Consoles, Music Production Equipment</td></tr><tr><td><strong>Control Type</strong></td><td>Media Control</td></tr><tr><td><strong>Cable Feature</strong></td><td>Without Cable</td></tr><tr><td><strong>Water Resistance Level</strong></td><td>Water Resistant</td></tr><tr><td><strong>Customer Package Type</strong></td><td>FFP</td></tr><tr><td><strong>Style</strong></td><td>Modern, Sleek, Compact, Portable</td></tr><tr><td><strong>Control Method</strong></td><td>Touch</td></tr><tr><td><strong>Number of Items</strong></td><td>1</td></tr><tr><td><strong>Battery Life</strong></td><td>48 Hours</td></tr><tr><td><strong>Audio Driver Type</strong></td><td>Dynamic Driver</td></tr><tr><td><strong>Bluetooth Range</strong></td><td>10 Meters</td></tr><tr><td><strong>Bluetooth Version</strong></td><td>5.3</td></tr><tr><td><strong>Carrying Case Weight</strong></td><td>38.8 Grams</td></tr><tr><td><strong>Carrying Case Material</strong></td><td>Plastic and Thermoplastic Elastomer (TPE)</td></tr><tr><td><strong>Carrying Case Color</strong></td><td>Blue</td></tr><tr><td><strong>Earpiece Shape</strong></td><td>Oval</td></tr><tr><td><strong>UPC</strong></td><td>050036395588</td></tr><tr><td><strong>Input Device Interface</strong></td><td>Bluetooth</td></tr><tr><td><strong>Noise Control Features</strong></td><td>Active Noise Cancelling, Smart Ambient</td></tr><tr><td><strong>Generation</strong></td><td>1</td></tr><tr><td><strong>Supports Bluetooth Technology</strong></td><td>Yes</td></tr><tr><td><strong>Special Feature</strong></td><td>Lightweight, Noise Cancellation</td></tr><tr><td><strong>Global Trade Identification Number</strong></td><td>00050036395588, 26925281972892</td></tr><tr><td><strong>Product Dimensions</strong></td><td>1.18 x 0.79 x 0.79 inches</td></tr><tr><td><strong>Units</strong></td><td>48 Count</td></tr></table></div>",JBL,,Earbud Headphones,"Cat:Electronics, Cat:Headphones,-Earbuds-&-Accessories, Cat:Headphones-&-Earbuds, Cat:Earbud-Headphones, Brand:JBL, Price:50-100, Feature:Bluetooth-5.3, Feature:Noise-Cancelling, Feature:Stereo, Feature:Wireless, Feature:True-Wireless, Keyword:Tune, Keyword:Earbuds, Keyword:Pure, Keyword:Bass, Keyword:Mic, Keyword:Crisp, Keyword:Clear, Keyword:Battery, Keyword:Water, Keyword:Dust, Keyword:Resistant, Rating:4.0+, Rating:3.5+, Prime:Yes, Source:Amazon-US",FALSE,Title,Default Title,,,,,AMZ-B0C1QDNP2G,0,shopify,100,deny,manual,76.99,92.99,TRUE,TRUE,,https://m.media-amazon.com/images/I/51e5NZdtmhL._AC_SL1500_.jpg,1,"JBL Tune Buds - True wireless Noise Cancelling earbuds, JBL Pure Bass Sound, - JBL",FALSE,"JBL Tune Buds - True wireless Noise Cancelling earbuds, JBL Pure Bass","JBL Tune Buds - True wireless Noise Cancelling earbuds, JBL. Features: JBL Pure Bass Sound, Bluetooth 5.3 with LE audio support (*), Active Noise Cancelling with Smart Ambient. Shop JBL Earbud Headphones.",,https://m.media-amazon.com/images/I/51e5NZdtmhL._AC_SL1500_.jpg,lb,,54.99,TRUE,TRUE,,,draft
jbl-tune-buds-true-wireless-noise-cancelling-earbuds-jbl-pure-bass-sound,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/81+2k02U1DL._AC_SL1500_.jpg,2,"JBL Tune Buds - True wireless Noise Cancelling earbuds, JBL Pure Bass Sound, - View 2",,,,,,,,,,,,,
jbl-tune-buds-true-wireless-noise-cancelling-earbuds-jbl-pure-bass-sound,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/81g3sMs8o9L._AC_SL1500_.jpg,3,"JBL Tune Buds - True wireless Noise Cancelling earbuds, JBL Pure Bass Sound, - View 3",,,,,,,,,,,,,
jbl-tune-buds-true-wireless-noise-cancelling-earbuds-jbl-pure-bass-sound,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/81o982-B7DL._AC_SL1500_.jpg,4,"JBL Tune Buds - True wireless Noise Cancelling earbuds, JBL Pure Bass Sound, - View 4",,,,,,,,,,,,,
jbl-tune-buds-true-wireless-noise-cancelling-earbuds-jbl-pure-bass-sound,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71-JlfTF7OL._AC_SL1500_.jpg,5,"JBL Tune Buds - True wireless Noise Cancelling earbuds, JBL Pure Bass Sound, - View 5",,,,,,,,,,,,,
jbl-tune-buds-true-wireless-noise-cancelling-earbuds-jbl-pure-bass-sound,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/81lcrG0YxrL._AC_SL1500_.jpg,6,"JBL Tune Buds - True wireless Noise Cancelling earbuds, JBL Pure Bass Sound, - Detail View",,,,,,,,,,,,,
samsung-galaxy-buds-fan-edition-sm-r400-active-noise-cancelling-wireless,"Samsung Galaxy Buds Fan Edition SM-R400, Active Noise-Cancelling, Wireless","<div class=""sfx-features""><h3>Key Features</h3><ul><li>Active Noise-Cancelling</li></ul></div>
<div class=""sfx-description""><h3>Description</h3><p>DESIGNED FOR COMFORT. SHAPED TO FIT: Listen comfortably all day with the new wing-tip design that keeps your Buds in place. HEAR WHAT YOU WANT, NOT WHAT YOU DON’T: Hear what you want how you want thanks to Active Noise Cancellation. PAIRS EASILY WITH YOUR GALAXY: Galaxy Buds FE pair easily to your other Galaxy devices through your Samsung account; Just open the case, tap to connect* and your paired Buds FE show up in your list of devices AUDIO THAT SWITCHES AUTOMATICALLY: With Auto Switch**, Buds FE connect to whatever device you need so you don’t miss a beat**; Stream a movie on your Tab — if a call comes through on your phone, you can answer through your Buds FE. HEAR LOUD & CLEAR: Hear and be heard clearly on calls with your Galaxy Buds FE; They sense distracting background sounds and then minimize them for better call clarity</p></div>
<div class=""sfx-specs""><h3>Specifications</h3><table class=""sfx-spec-table""><tr><td><strong>Noise Control</strong></td><td>Active Noise Cancellation</td></tr><tr><td><strong>Headphones Jack</strong></td><td>No Jack</td></tr><tr><td><strong>Model Name</strong></td><td>Galaxy Buds Fan Edition(FE)</td></tr><tr><td><strong>Connectivity Technology</strong></td><td>Wireless</td></tr><tr><td><strong>Wireless Communication Technology</strong></td><td>Bluetooth</td></tr><tr><td><strong>Included Components</strong></td><td>Charging Case, Earbuds, Eartips (S, M, L), Wingtips(S/M, M/L), C to Cable, Quick Start Guide</td></tr><tr><td><strong>Material</strong></td><td>Brass, Polycarbonate (PC), Silicone, Stainless Steel</td></tr><tr><td><strong>Specific Uses For Product</strong></td><td>Entertainment, Gaming, Travel</td></tr><tr><td><strong>Charging Time</strong></td><td>15 minutes</td></tr><tr><td><strong>Recommended Uses For Product</strong></td><td>Music, Travel</td></tr><tr><td><strong>Compatible Devices</strong></td><td>Select Samsung smartphones running Android 8.0 or higher with 1.5GB of RAM or more, and potentially other devices with Bluetooth v5.2 and supporting A2DP, AVRCP, and HFP profiles.</td></tr><tr><td><strong>Control Type</strong></td><td>Touch Control</td></tr><tr><td><strong>Cable Feature</strong></td><td>Without Cable</td></tr><tr><td><strong>Water Resistance Level</strong></td><td>Water Resistant</td></tr><tr><td><strong>Customer Package Type</strong></td><td>FFP</td></tr><tr><td><strong>Style</strong></td><td>Contemporary</td></tr><tr><td><strong>Control Method</strong></td><td>Touch</td></tr><tr><td><strong>Number of Items</strong></td><td>1</td></tr><tr><td><strong>Controller Type</strong></td><td>Touch</td></tr><tr><td><strong>Battery Life</strong></td><td>30 Hours</td></tr><tr><td><strong>Audio Driver Type</strong></td><td>Dynamic Driver</td></tr><tr><td><strong>Bluetooth Version</strong></td><td>5.2</td></tr><tr><td><strong>Carrying Case Material</strong></td><td>Composite</td></tr><tr><td><strong>Carrying Case Color</strong></td><td>Graphite</td></tr><tr><td><strong>Earpiece Shape</strong></td><td>Ear wings/tips</td></tr><tr><td><strong>Hardware Interface</strong></td><td>Bluetooth</td></tr><tr><td><strong>Input Device Interface</strong></td><td>Bluetooth</td></tr><tr><td><strong>Noise Control Features</strong></td><td>active_noise_cancellation</td></tr><tr><td><strong>Generation</strong></td><td>3</td></tr><tr><td><strong>Supports Bluetooth Technology</strong></td><td>Yes</td></tr><tr><td><strong>Product Dimensions</strong></td><td>1.09 x 1.97 x 1.97 inches</td></tr></table></div>",Samsung,,Earbud Headphones,"Cat:Electronics, Cat:Headphones,-Earbuds-&-Accessories, Cat:Headphones-&-Earbuds, Cat:Earbud-Headphones, Brand:Samsung, Price:50-100, Feature:Bluetooth, Feature:Wireless, Feature:Android-8, Keyword:Galaxy, Keyword:Fan, Keyword:Sm-r, Keyword:Active, Keyword:Noise-cancelling, Keyword:Earbuds, Keyword:Android, Keyword:Graphite, Rating:4.0+, Rating:3.5+, Prime:Yes, Source:Amazon-US",FALSE,Title,Default Title,,,,,AMZ-B0CL8CJPVM,0,shopify,100,deny,manual,83.99,100.99,TRUE,TRUE,,https://m.media-amazon.com/images/I/51TaSV5ZC6L._AC_SL1500_.jpg,1,"Samsung Galaxy Buds Fan Edition SM-R400, Active Noise-Cancelling, Wireless - Samsung",FALSE,"Samsung Galaxy Buds Fan Edition SM-R400, Active Noise-Cancelling","Samsung Galaxy Buds Fan Edition SM-R400, Active. Features: Noise Control, Headphones Jack, Model Name, Connectivity Technology, Wireless Communication Technology. Shop Samsung Earbud Headphones.",,https://m.media-amazon.com/images/I/51TaSV5ZC6L._AC_SL1500_.jpg,lb,,59.9,TRUE,TRUE,,,draft
samsung-galaxy-buds-fan-edition-sm-r400-active-noise-cancelling-wireless,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/51sVDj4WerL._AC_SL1500_.jpg,2,"Samsung Galaxy Buds Fan Edition SM-R400, Active Noise-Cancelling, Wireless - View 2",,,,,,,,,,,,,
samsung-galaxy-buds-fan-edition-sm-r400-active-noise-cancelling-wireless,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/5149Jn3JekL._AC_SL1500_.jpg,3,"Samsung Galaxy Buds Fan Edition SM-R400, Active Noise-Cancelling, Wireless - View 3",,,,,,,,,,,,,
samsung-galaxy-buds-fan-edition-sm-r400-active-noise-cancelling-wireless,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/613FVGVsXxL._AC_SL1312_.jpg,4,"Samsung Galaxy Buds Fan Edition SM-R400, Active Noise-Cancelling, Wireless - View 4",,,,,,,,,,,,,
