Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / United States,Included / International,Price / International,Compare At Price / International,Status
andoll-home-automatic-cat-feeder-4l-cat-food-dispenser-with-10s-voice,"ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser with 10s Voice","<div class=""sfx-features""><h3>Key Features</h3><ul><li><strong>Smooth feeding, No food blockage</strong> — Have you encountered any issues with the food cardholder not coming out while using the feeder? Are you still troubled by constantly shaking the feeder to let food flow out? Our automatic pet feeder comes with a food distribution system that ensures smooth and even feeding of food into the feeding bowl during the automatic feeding program. The detailed design and comprehensive functionality can free up your hands and time, allowing you to no longer worry about pet feeding.</li><li><strong>Custom voice recording</strong> — You can record 10s voice to keep connected with your pets. When the feeding time you set is up, the system will automatically play your recording 3 times to shout for your pet to come and eat. Your voice will keep a close relationship with your pet and also let your pet eat with peace of mind.</li><li><strong>Fresh food prioritizes health</strong> — The automatic cat feeder features a finger broadcasting lid opening device at the top to prevent your pet from stealing food. We have designed a desiccant placement box in our food dispenser, the design can completely isolate the air to prevent food from getting damp and moldy. We have included a desiccant to ensure the freshness of pet food.</li><li><strong>Ensure smooth feeding</strong> — We have designed a food swinging device in the food dispenser to ensure that food can be smoothly placed into the feeding bowl from getting stuck. The feeding bowl of our automatic cat feeder is designed to tilt 8 degrees to ensure that your pet can eat in a comfortable position.</li><li><strong>Two power supply options available</strong> — Use the 5V DC adapter while supplying the automatic cat food dispenser via 3 alkaline batteries(not included) installed in case of power outages, to ensure that your cat gets food consistently.</li><li><strong>Scheduled Automatic Feeding</strong> — Are you still worried about forgetting to feed your pets? Are you still worried about not being able to feed your pets while on a business trip? Are you still worried about falling asleep after the party and not feeding your pet? Our automatic cat feeder is equipped with a programmable feeding display screen, which accurately and punctually runs the feeding time and amount you set, allowing your cat to eat healthily and regularly.</li></ul></div>
<div class=""sfx-specs""><h3>Specifications</h3><table class=""sfx-spec-table""><tr><td><strong>Item Package Dimensions L x W x H</strong></td><td>18.07 x 13.23 x 7.95 inches</td></tr><tr><td><strong>Item Dimensions LxWxH</strong></td><td>7 x 7 x 13 inches</td></tr><tr><td><strong>Brand Name</strong></td><td>ANDOLL HOME</td></tr><tr><td><strong>Target Audience Keyword</strong></td><td>Cats, Dogs, Small Animals, house-cats</td></tr><tr><td><strong>Directions</strong></td><td>Please use with the accompaniment of an adult</td></tr><tr><td><strong>Warranty Description</strong></td><td>1 YEAR MANUFACTURE</td></tr><tr><td><strong>Model Name</strong></td><td>4L/6L</td></tr><tr><td><strong>Color</strong></td><td>White</td></tr><tr><td><strong>Size</strong></td><td>4.0 L</td></tr><tr><td><strong>Material</strong></td><td>Stainless Steel</td></tr><tr><td><strong>Age Range Description</strong></td><td>Adult</td></tr><tr><td><strong>Style</strong></td><td>Pure exquisite</td></tr><tr><td><strong>Breed Recommendation</strong></td><td>small and medium animal</td></tr><tr><td><strong>Included Components</strong></td><td>pet feeder body, pet feeder tray</td></tr><tr><td><strong>Specific Uses for Product</strong></td><td>Indoor</td></tr></table></div>",ANDOLL HOME,,Automatic Feeders,"Cat:Pet-Supplies, Cat:Cats, Cat:Feeding-&-Watering-Supplies, Cat:Automatic-Feeders, Brand:ANDOLL-HOME, Price:25-50, Feature:4L-Capacity, Feature:8-Meal, Feature:Voice-Recording, Feature:Programmable-Timer, Use:Cat, Use:Dog, Use:Pet, Keyword:Automatic, Keyword:Cat, Keyword:Feeder, Keyword:Food, Keyword:Dispenser, Keyword:Recorder, Keyword:Pet, Keyword:Meals, Keyword:Timed, Keyword:Dog, Keyword:Dry, Bestseller:Top-1000, Rating:4.0+, Rating:3.5+, Prime:Yes, Source:Amazon-US",FALSE,Title,Default Title,,,,,AMZ-B0DF7H6SGZ,0,shopify,100,deny,manual,40.99,49.99,TRUE,TRUE,,https://m.media-amazon.com/images/I/61TBPvvykoL._AC_SL1500_.jpg,1,"ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser with 10s Voice - ANDOLL HOME",FALSE,"ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser with 10s Voice","ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser. Features: Smooth feeding, No food blockage, Custom voice recording, Fresh food prioritizes health, Ensure smooth feeding, Two power supply options available. Shop ANDOLL HOME Automatic Feeders.",,https://m.media-amazon.com/images/I/61TBPvvykoL._AC_SL1500_.jpg,lb,,29.99,TRUE,TRUE,,,draft
andoll-home-automatic-cat-feeder-4l-cat-food-dispenser-with-10s-voice,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71d16yiewZL._AC_SL1500_.jpg,2,"ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser with 10s Voice - View 2",,,,,,,,,,,,,
andoll-home-automatic-cat-feeder-4l-cat-food-dispenser-with-10s-voice,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61-0NuCJxiL._AC_SL1500_.jpg,3,"ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser with 10s Voice - View 3",,,,,,,,,,,,,
andoll-home-automatic-cat-feeder-4l-cat-food-dispenser-with-10s-voice,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71BpeGLhfkL._AC_SL1500_.jpg,4,"ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser with 10s Voice - View 4",,,,,,,,,,,,,
andoll-home-automatic-cat-feeder-4l-cat-food-dispenser-with-10s-voice,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71CVjtZ9CSL._AC_SL1500_.jpg,5,"ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser with 10s Voice - View 5",,,,,,,,,,,,,
andoll-home-automatic-cat-feeder-4l-cat-food-dispenser-with-10s-voice,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/71hBuAwsI9L._AC_SL1500_.jpg,6,"ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser with 10s Voice - Detail View",,,,,,,,,,,,,
andoll-home-automatic-cat-feeder-4l-cat-food-dispenser-with-10s-voice,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/61LWr2Q+prL._AC_SL1500_.jpg,7,"ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser with 10s Voice - Detail View",,,,,,,,,,,,,
andoll-home-automatic-cat-feeder-4l-cat-food-dispenser-with-10s-voice,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/617Vf1OZL-L._AC_SL1500_.jpg,8,"ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser with 10s Voice - Detail View",,,,,,,,,,,,,
andoll-home-automatic-cat-feeder-4l-cat-food-dispenser-with-10s-voice,,,,,,,,,,,,,,,,,,,,,,,,,https://m.media-amazon.com/images/I/713pqOGuhcL._AC_SL1500_.jpg,9,"ANDOLL HOME Automatic Cat Feeder, 4L Cat Food Dispenser with 10s Voice - Detail View",,,,,,,,,,,,,
petlibro-automatic-cat-feeder-5g-wifi-automatic-dog-food-dispenser-with,"PETLIBRO Automatic Cat Feeder, 5G WiFi Automatic Dog Food Dispenser with","<div class=""sfx-features""><h3>Key Features</h3><ul><li><strong>Smart APP Control</strong> — Wi-Fi fully automatic dog feeder is 5GHz and 2.4GHz WiFi-enabled allowing you to program your pet's meals anywhere anytime through the PETLIBRO App on your iOS or Android smartphone.</li><li><strong>Never Miss A Meal</strong> — Easily schedule up to 10 meals per day and 1-48 portions per meal (1/12 cup each portion) with the Wi-Fi automatic cat feeder, you can easily customize your furry friend's feeding plan and check the feeding records to ensure your cat has been fed on a set schedule by the APP.</li><li><strong>Personalized Meal Call</strong> — Record a voice message for up to 10 seconds that plays for each feeding, and freely set the times the meal call play, so your pet can feel your care even when you're not at home. Not only that, but the thoughtful automatic cat food dispenser provides you with the ability to record up to 10 customized meal calls and adjust the volume to your needs!</li><li><strong>Freshness in Every Bite</strong> — Patent rotor in the tank base and twist-lock lid of the automatic pet feeder prevent pets sneaking into the food dispenser for extra food. Built-in desiccant bag and sealing strip keep food fresh and crunchy. Food-grade stainless steel bowl provides healthy and hygienic feeding, saving your pets from chin acne.</li><li><strong>Smart Notifications and Indicators</strong> — Your phone receives notifications and the machine’s indicators also lights up red when the food tank of the cat feeder automatic is empty, food gets jammed, the battery is low, or has other problems. The infrared sensor keeps checking and stops food dispensing if the food outlet is blocked.</li></ul></div>
<div class=""sfx-specs""><h3>Specifications</h3><table class=""sfx-spec-table""><tr><td><strong>Item Package Dimensions L x W x H</strong></td><td>14.37 x 7.8 x 7.76 inches</td></tr><tr><td><strong>Item Dimensions LxWxH</strong></td><td>13.4 x 7.5 x 7.5 inches</td></tr><tr><td><strong>Brand Name</strong></td><td>PETLIBRO</td></tr><tr><td><strong>Target Audience Keyword</strong></td><td>dogs, house-cats, small-animal-pets</td></tr><tr><td><strong>Directions</strong></td><td>Please use dry kibble with diameter 2-15mm; Please replace the desiccant bag every half a month; Please do not wash the feeder base; Please wipe dry all the parts before use</td></tr><tr><td><strong>Warranty Description</strong></td><td>24 Months Warranty</td></tr><tr><td><strong>Model Name</strong></td><td>Automatic pet feeder</td></tr><tr><td><strong>Color</strong></td><td>Black</td></tr><tr><td><strong>Size</strong></td><td>5L-with WiFi</td></tr><tr><td><strong>Material</strong></td><td>Stainless Steel</td></tr><tr><td><strong>Age Range Description</strong></td><td>All Life Stages</td></tr><tr><td><strong>Care Instructions</strong></td><td>Hand Wash Only, Keep in a Dry Place, The built-in desiccant bag is recommended to be replaced every two weeks</td></tr><tr><td><strong>Number of Items</strong></td><td>1</td></tr><tr><td><strong>Style</strong></td><td>WiFi</td></tr><tr><td><strong>Breed Recommendation</strong></td><td>All Breed Sizes, Cats, Dogs</td></tr><tr><td><strong>Included Components</strong></td><td>Charger*1, Desiccant Bag*1, Quick Guide*1, User Manual*1, Wi-Fi Automatic Pet Feeder*1</td></tr><tr><td><strong>Specific Uses for Product</strong></td><td>App Control, Help pets on a healthy diet, Pet daily feeding, Suitable for pets, Wi-Fi Connection</td></tr></table></div>",PETLIBRO,,Automatic Feeders,"Cat:Pet-Supplies, Cat:Cats, Cat:Feeding-&-Watering-Supplies, Cat:Automatic-Feeders, Brand:PETLIBRO, Price:50-100, Feature:WiFi, Feature:5L-Capacity, Feature:12-Cup, Feature:10-Meal, Feature:Stainless-Steel, Feature:Programmable-Timer, Use:Cat, Use:Dog, Use:Pet, Keyword:Automatic, Keyword:Cat, Keyword:Feeder, Keyword:Dog, Keyword:Food, Keyword:Dispenser, Keyword:Freshness, Keyword:Preservation, Keyword:Timed, Keyword:Pet, Keyword:Sensor, Keyword:Meals, Keyword:Granary, Bestseller:Top-1000, Rating:4.0+, Rating:3.5+, Prime:Yes, Source:Amazon-US",FALSE,Title,Default Title,,,,,AMZ-B09S8WMJY9,0,shopify,100,deny,manual,134.99,161.99,TRUE,TRUE,,https://m.media-amazon.com/images/I/71g1HcpaAzL._AC_SL1500_.jpg,1,"PETLIBRO Automatic Cat Feeder, 5G WiFi Automatic Dog Food Dispenser with - PETLIBRO",FALSE,"PETLIBRO Automatic Cat Feeder, 5G WiFi Automatic Dog Food Dispenser","PETLIBRO Automatic Cat Feeder, 5G WiFi Automatic Dog Food. Features: Smart APP Control, Never Miss A Meal, Personalized Meal Call, Freshness in Every Bite, Smart Notifications and Indicators. Shop PETLIBRO Automatic Feeders.",,https://m.media-amazon.com/images/I/71g1HcpaAzL._AC_SL1500_.jpg,lb,,99.99,TRUE,TRUE,,,draft
